時間戳記,電燈狀態,溫度,濕度
2025-11-29 14:38:00,關,22.58,59.84
2025-11-29 14:43:00,關,26.09,56.56
2025-11-29 14:48:00,關,23.94,60.24
2025-11-29 14:53:00,關,23.78,60.58
2025-11-29 14:58:00,開,28.09,67.42
2025-11-29 15:03:00,關,26.29,63.81
2025-11-29 15:08:00,關,26.55,62.78
2025-11-29 15:13:00,開,30.08,66.28
2025-11-29 15:18:00,關,30.79,55.23
2025-11-29 15:23:00,開,31.01,59.28
2025-11-29 15:28:00,開,27.59,63.79
2025-11-29 15:33:00,關,24.47,58.32
2025-11-29 15:38:00,關,26.88,58.84
2025-11-29 15:43:00,關,25.28,68.11
2025-11-29 15:48:00,關,27.15,65.76
2025-11-29 15:53:00,關,25.45,64.22
2025-11-29 15:58:00,開,28.45,60.84
2025-11-29 16:03:00,開,28.13,62.14
2025-11-29 16:08:00,關,31.27,63.81
2025-11-29 16:13:00,關,28.29,64.15
2025-11-29 16:18:00,關,24.48,61.88
2025-11-29 16:23:00,開,24.68,62.93
2025-11-29 16:28:00,關,28.38,68.88
2025-11-29 16:33:00,關,27.06,65.24
2025-11-29 16:38:00,關,29.38,58.66
2025-11-29 16:43:00,關,25.2,60.08
2025-11-29 16:48:00,關,29.81,63.78
2025-11-29 16:53:00,關,25.57,67.25
2025-11-29 16:58:00,開,27.57,59.8
2025-11-29 17:03:00,開,30.62,67.5
2025-11-29 17:08:00,開,25.27,67.94
2025-11-29 17:13:00,關,24.89,68.01
2025-11-29 17:18:00,關,28.1,64.78
2025-11-29 17:23:00,開,24.5,57.83
2025-11-29 17:28:00,關,29.87,61.29
2025-11-29 17:33:00,關,28.58,65.53
2025-11-29 17:38:00,關,28.9,59.68
2025-11-29 17:43:00,關,25.92,62.26
2025-11-29 17:48:00,開,31.34,66.77
2025-11-29 17:53:00,開,28.27,68.56
2025-11-29 17:58:00,開,23.1,56.85
2025-11-29 18:03:00,關,24.09,62.28
2025-11-29 18:08:00,關,24.74,57.36
2025-11-29 18:13:00,開,29.4,66.91
2025-11-29 18:18:00,關,28.16,68.03
2025-11-29 18:23:00,開,25.68,67.07
2025-11-29 18:28:00,開,27.58,63.32
2025-11-29 18:33:00,關,25.96,62.28
2025-11-29 18:38:00,開,27.64,56.22
2025-11-29 18:43:00,開,32.38,55.85
